M15926,Sauropsida,"Yi H., & Norell M.A. 2013. New material of Estesia mongoliensis (Squamata: Anguimorpha) and the evolution of venom grooves in lizards. American Museum Novitates, 3767: 1-31."
M14387,Polychaeta,"Zanol J., Halanych K., & Fauchald K. 2012. Phylogeny and generic reclassification of the bristleworm family Eunicidae (polychaete, Annelida). Zoological Journal of the Linnean Society, ."
M13866,Dinosauria,"Longrich N.R., Sankey J., & Tanke D.H. 2010. Texacephale langstoni, a new genus of pachycephalosaurid (Dinosauria: Ornithischia) from the upper Campanian Aguja Formation, southern Texas, USA. Cretaceous Research, 31(2): 274-284."
M12195,Arachnida,"Soto E.M., & Ramirez M.J. 2012. Revision and phylogenetic analysis of the spider genus Philisca Simon (Araneae: Anyphaenidae, Amaurobioidinae). Zootaxa, ."
M10092,Batrachomorpha,"Pyron R.A. 2011. Divergence-Time Estimation Using Fossils as Terminal Taxa and the Origins of Lissamphibia. Systematic Biology, 60(4): 466-481."
M8937,Insecta,"Sharkey M., Carpenter J., Vilhelmsen L., Heraty J., Hawks D., Dowling A.P., Schulmeister S., Murray D., Deans A., Ronquist F., Krogmann L., & Wheeler W. 2011. Phylogenetic Relationships Among Superfamilies of Hymenoptera. Cladistics, ."
M6894,Sauropsida,"Wiens J.J., Kuczynski C.A., Townsend T., Reeder T., Mulcahy D., & Sites J.W. 2010. Combining phylogenomics and fossils in higher level squamate reptile phylogeny: molecular data change the placement of fossil taxa. Systematic Biology, ."
M5975,Pteridopsida,"Sundue M.A., Islam M., & Ranker T. 2010. Systematics of grammitid ferns (Polypodiaceae): using morphology and plastid sequence data to resolve the circumscriptions of Melpomene and the polyphyletic genera Lellingeria and Terpsichore. Systematic Botany, 35.  "
M5518,Monocot,"Bouchenak-khelladi Y., Verboom G., Savolainen V., & Hodkinson T.R. 2010. Biogeography of the grasses (Poaceae): a phylogenetic approach to reveal evolutionary history in geographical space and geological time. Botanical Journal of the Linnean Society, 162: 543-557.  "
M4294,Monocot,"Baker W.J., Savolainen V., Asmussen-lange C., Chase M., Dransfied J., Forest F., Harley M., Uhl N., & Wilkinson M. 2009. Complete Generic Level Phylogenetic Analyses of Palms (Arecaceae) with Comparisons of Supertree and Supermatrix Approaches. Systematic Biology, 58(2): 240-256.  "
M4175,Insecta,"Dikow T. 2009. A phylogenetic hypothesis for Asilidae based on a total evidence analysis of morphological and DNA sequence data (Insecta: Diptera: Brachycera: Asiloidea). Organisms Diversity & Evolution, 9(3): 165-188."
M4092,Amphibia,"Laurin M., & Vallin G. 2004. Cranial morphology and affinities of Microbrachis, and a reappraisal of the phylogeny and lifestyle of the first amphibians. Journal of Vertebrate Paleontology, 24: 56-72."
M3932,Insecta,"Smith V. 2001. Avian Louse Phylogeny (Phthiraptera: Ischnocera): A cladistic study based on morphology. Zoological Journal of the Linnean Society, 132(1): 81-144."
M3830,Mammalia,"Jansa S., & Voss R. 2008. Phylogenetic relationships and classification of didelphid marsupials, an extant radiation of New World metatherian mammals. Bulletin of the American Museum of Natural History, null."
M3542,Insecta,"Liljeblad J., Ronquist F., Nieves-aldrey J., Fontal-cazalla F., Ros-farré P., Gaitros D., & Pujade-villar J. 2008. A Fully Web-Illustrated Morphological Phylogenetic Study of Relationships among Oak Gall Wasps and Their Closest Relatives (Hymenoptera: Cynipidae). Zootaxa, 1796: 1-73.  "
M2320,Mammalia,"Geisler J. 2001. New morphological evidence for the phylogeny of Artiodactyla, Cetacea, and Mesonychidae. American Museum Novitates, 3344: 1-53."
M2215,Arachnida,"Griswold C., Coddington J., Platnick N., & Forster R. 1999. Towards a phylogeny of entelegyne spiders (Araneae, Araneomorphae, Entelegynae). Journal of Arachnology, 27: 53-63."
M1687,Eudicot,"Loconte H., & Stevenson D. 1991. Cladistics of the magnoliidae. Cladistics, 7: 267-296."
M1680,Eudicot,"Wortley A., Harris D., & Scotland R. 2006. On the taxonomy and phylogenetic position of Thomandersia. Systematic Botany, null."
M410,Malacostraca,"Wilson G., & Edgecombe G. 2003. The Triassic isopod Protamphisopus wianamattensis (Chilton) and comparison with extant taxa (Crustacea, phreatoicidea). Journal of Paleontology, 77(3): 454-470."
M1119,Mammalia,"Asher R., & Hofreiter M. 2005. Tenrec Phylogeny and the Noninvasive Extraction of Nuclear DNA. Systematic Biology, 55(2): 181-194."

