M1119,Mammalia,"Asher R., & Hofreiter M. 2005. Tenrec Phylogeny and the Noninvasive Extraction of Nuclear DNA. Systematic Biology, 55(2): 181-194."
,Arachnida,"Agnarsson, I. 2004: Morphological phylogeny of cobweb spiders and their relatives (Araneae, Araneoidea, Theridiidae). Zoological Journal of the Linnean Society 141:447–626."
,Polychaeta,"Aguado, M. T., and G. San Martín. 2009: Phylogeny of Syllidae (Polychaeta) based on morphological data. Zoologica Scripta 38:379–402."
M4294,Monocot,"Baker W.J., Savolainen V., Asmussen-lange C., Chase M., Dransfied J., Forest F., Harley M., Uhl N., & Wilkinson M. 2009. Complete Generic Level Phylogenetic Analyses of Palms (Arecaceae) with Comparisons of Supertree and Supermatrix Approaches. Systematic Biology, 58(2): 240-256.  "
M5518,Monocot,"Bouchenak-khelladi Y., Verboom G., Savolainen V., & Hodkinson T.R. 2010. Biogeography of the grasses (Poaceae): a phylogenetic approach to reveal evolutionary history in geographical space and geological time. Botanical Journal of the Linnean Society, 162: 543-557.  "
,Annelida,"Capa, M., P. Hutchings, M. T. Aguado, and N. J. Bott. 2011: Phylogeny of Sabellidae (Annelida) and relationships with other taxa inferred from morphology and multiple genes. Cladistics 27:449–469."
,Annelida,"De Assis, J. E., and M. L. Christoffersen. 2011: Phylogenetic relationships within Maldanidae (Capitellida, Annelida), based on morphological characters. Systematics and Biodiversity 9:233–245."
M4175,Insecta,"Dikow T. 2009. A phylogenetic hypothesis for Asilidae based on a total evidence analysis of morphological and DNA sequence data (Insecta: Diptera: Brachycera: Asiloidea). Organisms Diversity & Evolution, 9(3): 165-188."
,Plants,"Eklund, H., J. A. Doyle, and P. S. Herendeen. 2004: Morphological phylogenetic analysis of living and fossil Chloranthaceae. International Journal of Plant Sciences 165:107–151."
M2320,Mammalia,"Geisler J. 2001. New morphological evidence for the phylogeny of Artiodactyla, Cetacea, and Mesonychidae. American Museum Novitates, 3344: 1-53."
,Osteichtis,"Giles, S., M. Friedman, and M. D. Brazeau. 2015: Osteichthyan-like cranial conditions in an Early Devonian stem gnathostome. Nature 520:82–85."
M2215,Arachnida,"Griswold C., Coddington J., Platnick N., & Forster R. 1999. Towards a phylogeny of entelegyne spiders (Araneae, Araneomorphae, Entelegynae). Journal of Arachnology, 27: 53-63."
M3542,Insecta,"Liljeblad J., Ronquist F., Nieves-aldrey J., Fontal-cazalla F., Ros-farrÌ© P., Gaitros D., & Pujade-villar J. 2008. A Fully Web-Illustrated Morphological Phylogenetic Study of Relationships among Oak Gall Wasps and Their Closest Relatives (Hymenoptera: Cynipidae). Zootaxa, 1796: 1-73.  "
M1687,Eudicot,"Loconte H., & Stevenson D. 1991. Cladistics of the magnoliidae. Cladistics, 7: 267-296."
M13866,Dinosauria,"Longrich N.R., Sankey J., & Tanke D.H. 2010. Texacephale langstoni, a new genus of pachycephalosaurid (Dinosauria: Ornithischia) from the upper Campanian Aguja Formation, southern Texas, USA. Cretaceous Research, 31(2): 274-284."
,Lobopodia,"Ma, X.-Y., G. D. Edgecombe, D. A. Legg, and X.-G. Hou. 2014: The morphology and phylogenetic position of the Cambrian lobopodian <i>Diania cactiformis</i>. Journal of Systematic Palaeontology 12:445–457."
,Mammalia,"O'Leary, M. A., and J. H. Geisler. 1999: The position of Cetacea within Mammalia: phylogenetic analysis of morphological data from extinct and extant taxa. Systematic Biology 48:455–490."
,Mammalia,"Rougier, G. W., J. R. Wible, R. M. D. Beck, and S. Apesteguía. 2012: The Miocene mammal Necrolestes demonstrates the survival of a Mesozoic nontherian lineage into the late Cenozoic of South America. Proceedings of the National Academy of Sciences 109:20053–20058."
,Annelida,"Rouse, G. W., and K. Fauchald. 1997: Cladistics and polychaetes. Zoologica Scripta 26:139–204."
,Annelida,"Rousset, V., G. W. Rouse, M. E. Siddall, A. Tillier, and F. Pleijel. 2004: The phylogenetic position of Siboglinidae (Annelida) inferred from 18S rRNA, 28S rRNA and morphological data. Cladistics 20:518–533."
,Insecta,"Sano, M., and S.-I. Akimoto. 2011: Morphological phylogeny of gall-forming aphids of the tribe Eriosomatini (Aphididae: Eriosomatinae). Systematic Entomology 36:607–627."
,Vertebra,"Sansom, R. S., S. E. Gabbott, and M. A. Purnell. 2010: Non-random decay of chordate characters causes bias in fossil interpretation. Nature 463:797–800."
,Annelida,"Schulze, A., E. B. Cutler, and G. Giribet. 2007: Phylogeny of sipunculan worms: A combined analysis of four gene regions and morphology. Molecular Phylogenetics and Evolution 42:171–192."
M8937,Insecta,"Sharkey M., Carpenter J., Vilhelmsen L., Heraty J., Hawks D., Dowling A.P., Schulmeister S., Murray D., Deans A., Ronquist F., Krogmann L., & Wheeler W. 2011. Phylogenetic Relationships Among Superfamilies of Hymenoptera. Cladistics, ."
,Arachnida,"Shultz, J. W. 2007: A phylogenetic analysis of the arachnid orders based on morphological characters. Zoological Journal of the Linnean Society 150:221–265."
,Echinoderm,"Smith, A. B., and S. Zamora. 2013: Cambrian spiral-plated echinoderms from Gondwana reveal the earliest pentaradial body plan. Proceedings of the Royal Society B: Biological Sciences 280:20131197."
,Mollusc,"Smith, M. R. 2012: Morphology, ecology, and affinity of soft-bodied 'molluscs' from Cambrian Burgess Shale-type deposits. PhD Thesis (with Appendix), University of Toronto."
M5975,Pteridopsida,"Sundue M.A., Islam M., & Ranker T. 2010. Systematics of grammitid ferns (Polypodiaceae): using morphology and plastid sequence data to resolve the circumscriptions of Melpomene and the polyphyletic genera Lellingeria and Terpsichore. Systematic Botany, 35.  "
,Mollusc,"Sutton, M. D., D. E. G. Briggs, D. J. Siveter, D. J. Siveter, and J. D. Sigwart. 2012: A Silurian armoured aplacophoran and implications for molluscan phylogeny. Nature 490:94–97."
,Annelida,"Vinther, J., P. Van Roy, and D. E. G. Briggs. 2008: Machaeridians are Palaeozoic armoured annelids. Nature 451:185–188."
,Mammalia,"Wetterer, A. L., M. V. Rockkman, and N. B. Simmons. 2000: Phylogeny of phyllostomid bats (Mammalia: Chiroptera): data from diverse morphological systems, sex chromosomes, and restriction sites. Bulletin of the American Museum of Natural History 248:1–200."
M6894,Sauropsida,"Wiens J.J., Kuczynski C.A., Townsend T., Reeder T., Mulcahy D., & Sites J.W. 2010. Combining phylogenomics and fossils in higher level squamate reptile phylogeny: molecular data change the placement of fossil taxa. Systematic Biology, ."
,Annelida,"Wills, M. A., S. Gerber, M. Ruta, and M. Hughes. 2012: The disparity of priapulid, archaeopriapulid and palaeoscolecid worms in the light of new data. Journal of Evolutionary Biology 25:2056–2076."
M410,Malacostraca,"Wilson G., & Edgecombe G. 2003. The Triassic isopod Protamphisopus wianamattensis (Chilton) and comparison with extant taxa (Crustacea, phreatoicidea). Journal of Paleontology, 77(3): 454-470."
,Annelida,"Worsaae, K. 2005: Phylogeny of Nerillidae (Polychaeta, Annelida) as inferred from combined 18S rDNA and morphological data. Cladistics 21:143–162."
M1680,Eudicot,"Wortley A., Harris D., & Scotland R. 2006. On the taxonomy and phylogenetic position of Thomandersia. Systematic Botany, null."
M14387,Polychaeta,"Zanol J., Halanych K., & Fauchald K. 2012. Phylogeny and generic reclassification of the bristleworm family Eunicidae (polychaete, Annelida). Zoological Journal of the Linnean Society, ."
,Osteichtis,"Zhu, M., X. Yu, P. E. Ahlberg, B. Choo, J. Lu, T. Qiao, Q. Qu, W. Zhao, L. Jia, H. Blom, and Y. Zhu. 2013: A Silurian placoderm with osteichthyan-like marginal jaw bones. Nature 502:188–193."
